id,exam,subject,tag,question,choice1,choice2,choice3,choice4,answer,explanation,core_id,source,round,ai_corrected
1,ipe_industrial,1,2022_1,디지털 코드 중에서 에러 검출 및 교정이 가능한 코드는?,그레이(Gray) 코드,해밍(Hamming) 코드,3 초과(Excess-3) 코드,BCD 코드,2,"해밍 코드는 오류를 검출할 뿐 아니라 스스로 1비트 오류를 정정할 수 있는 코드입니다. 그레이 코드는 인접값 간 1비트만 바뀌는 코드, Excess-3와 BCD는 단순 자릿값 표현 코드로 오류 정정 기능이 없습니다.",1,cbt,2022_1,0
2,ipe_industrial,1,2023_3,디지털 코드 중에서 에러 검출 및 교정이 가능한 코드는?,그레이(Gray) 코드,해밍(Hamming) 코드,3 초과(Excess-3) 코드,BCD 코드,2,"해밍 코드는 오류를 검출할 뿐 아니라 스스로 1비트 오류를 정정할 수 있는 코드입니다. 그레이 코드는 인접값 간 1비트만 바뀌는 코드, Excess-3와 BCD는 단순 자릿값 표현 코드로 오류 정정 기능이 없습니다.",1,cbt,2023_3,0
3,ipe_industrial,1,2025_1,디지털 코드 중에서 에러 검출 및 교정이 가능한 코드는?,그레이(Gray) 코드,해밍(Hamming) 코드,3 초과(Excess-3) 코드,BCD 코드,2,"해밍 코드는 오류를 검출할 뿐 아니라 스스로 1비트 오류를 정정할 수 있는 코드입니다. 그레이 코드는 인접값 간 1비트만 바뀌는 코드, Excess-3와 BCD는 단순 자릿값 표현 코드로 오류 정정 기능이 없습니다.",1,cbt,2025_1,0
4,ipe_industrial,1,2022_1,해싱에서 동일한 버킷 주소를 갖는 레코드들의 집합을 의미하는 것은?,Chaining,Collision,Division,Synonym,4,"Synonym(동의어)은 해싱 함수 결과 같은 버킷(홈 주소)으로 사상되는 서로 다른 키들의 집합을 말합니다. Collision은 그 충돌 현상 자체를, Chaining은 충돌 해결 기법을 가리킵니다.",2,cbt,2022_1,0
5,ipe_industrial,1,2023_3,해싱에서 동일한 버킷 주소를 갖는 레코드들의 집합을 의미하는 것은?,Chaining,Collision,Division,Synonym,4,"Synonym(동의어)은 해싱 함수 결과 같은 버킷(홈 주소)으로 사상되는 서로 다른 키들의 집합을 말합니다. Collision은 그 충돌 현상 자체를, Chaining은 충돌 해결 기법을 가리킵니다.",2,cbt,2023_3,0
6,ipe_industrial,1,2025_3,해싱에서 동일한 버킷 주소를 갖는 레코드들의 집합을 의미하는 것은?,Chaining,Collision,Division,Synonym,4,"Synonym(동의어)은 해싱 함수 결과 같은 버킷(홈 주소)으로 사상되는 서로 다른 키들의 집합을 말합니다. Collision은 그 충돌 현상 자체를, Chaining은 충돌 해결 기법을 가리킵니다.",2,cbt,2025_3,0
7,ipe_industrial,1,2022_1,라우팅(Routing) 프로토콜이 아닌 것은?,BGP,OSPF,SMTP,RIP,3,SMTP는 전자우편 전송을 담당하는 응용 계층 프로토콜입니다. BGP·OSPF·RIP는 모두 라우터 간 경로 정보를 교환하는 라우팅 프로토콜입니다.,3,cbt,2022_1,0
8,ipe_industrial,1,2023_2,라우팅(Routing) 프로토콜이 아닌 것은?,BGP,OSPF,SMTP,RIP,3,SMTP는 전자우편 전송을 담당하는 응용 계층 프로토콜입니다. BGP·OSPF·RIP는 모두 라우터 간 경로 정보를 교환하는 라우팅 프로토콜입니다.,3,cbt,2023_2,0
9,ipe_industrial,1,2024_1,라우팅(Routing) 프로토콜이 아닌 것은?,BGP,OSPF,SMTP,RIP,3,SMTP는 전자우편 전송을 담당하는 응용 계층 프로토콜입니다. BGP·OSPF·RIP는 모두 라우터 간 경로 정보를 교환하는 라우팅 프로토콜입니다.,3,cbt,2024_1,0
10,ipe_industrial,1,2024_3,라우팅(Routing) 프로토콜이 아닌 것은?,BGP,OSPF,SMTP,RIP,3,SMTP는 전자우편 전송을 담당하는 응용 계층 프로토콜입니다. BGP·OSPF·RIP는 모두 라우터 간 경로 정보를 교환하는 라우팅 프로토콜입니다.,3,cbt,2024_3,0
11,ipe_industrial,1,2026_1,라우팅(Routing) 프로토콜이 아닌 것은?,BGP,OSPF,SMTP,RIP,3,SMTP는 전자우편 전송을 담당하는 응용 계층 프로토콜입니다. BGP·OSPF·RIP는 모두 라우터 간 경로 정보를 교환하는 라우팅 프로토콜입니다.,3,cbt,2026_1,0
12,ipe_industrial,1,2022_1,아키텍처 설계에서 뷰의 종류가 아닌 것은?,물리적 뷰,논리적 뷰,프로세스 뷰,배포 뷰,1,"국내 시험 기준 소프트웨어 아키텍처 뷰(4+1 뷰)는 유스케이스 뷰, 논리 뷰, 프로세스 뷰, 구현 뷰, 배포 뷰 5가지로 정의됩니다. '물리적 뷰'는 이 5가지 명칭에 포함되지 않아 정답(옳지 않은 것)입니다. (참고: 국제 원문 모델은 '배포 뷰' 대신 'Physical View'라는 용어를 쓰기도 하지만, 국내 시험에서는 '배포 뷰'가 표준 용어입니다.)",4,cbt,2022_1,0
13,ipe_industrial,1,2022_2,아키텍처 설계에서 뷰의 종류가 아닌 것은?,물리적 뷰,논리적 뷰,프로세스 뷰,배포 뷰,1,"국내 시험 기준 소프트웨어 아키텍처 뷰(4+1 뷰)는 유스케이스 뷰, 논리 뷰, 프로세스 뷰, 구현 뷰, 배포 뷰 5가지로 정의됩니다. '물리적 뷰'는 이 5가지 명칭에 포함되지 않아 정답(옳지 않은 것)입니다. (참고: 국제 원문 모델은 '배포 뷰' 대신 'Physical View'라는 용어를 쓰기도 하지만, 국내 시험에서는 '배포 뷰'가 표준 용어입니다.)",4,cbt,2022_2,0
14,ipe_industrial,1,2024_1,아키텍처 설계에서 뷰의 종류가 아닌 것은?,물리적 뷰,논리적 뷰,프로세스 뷰,배포 뷰,1,"국내 시험 기준 소프트웨어 아키텍처 뷰(4+1 뷰)는 유스케이스 뷰, 논리 뷰, 프로세스 뷰, 구현 뷰, 배포 뷰 5가지로 정의됩니다. '물리적 뷰'는 이 5가지 명칭에 포함되지 않아 정답(옳지 않은 것)입니다. (참고: 국제 원문 모델은 '배포 뷰' 대신 'Physical View'라는 용어를 쓰기도 하지만, 국내 시험에서는 '배포 뷰'가 표준 용어입니다.)",4,cbt,2024_1,0
15,ipe_industrial,1,2024_3,아키텍처 설계에서 뷰의 종류가 아닌 것은?,물리적 뷰,논리적 뷰,프로세스 뷰,배포 뷰,1,"국내 시험 기준 소프트웨어 아키텍처 뷰(4+1 뷰)는 유스케이스 뷰, 논리 뷰, 프로세스 뷰, 구현 뷰, 배포 뷰 5가지로 정의됩니다. '물리적 뷰'는 이 5가지 명칭에 포함되지 않아 정답(옳지 않은 것)입니다. (참고: 국제 원문 모델은 '배포 뷰' 대신 'Physical View'라는 용어를 쓰기도 하지만, 국내 시험에서는 '배포 뷰'가 표준 용어입니다.)",4,cbt,2024_3,0
16,ipe_industrial,1,2025_3,아키텍처 설계에서 뷰의 종류가 아닌 것은?,물리적 뷰,논리적 뷰,프로세스 뷰,배포 뷰,1,"국내 시험 기준 소프트웨어 아키텍처 뷰(4+1 뷰)는 유스케이스 뷰, 논리 뷰, 프로세스 뷰, 구현 뷰, 배포 뷰 5가지로 정의됩니다. '물리적 뷰'는 이 5가지 명칭에 포함되지 않아 정답(옳지 않은 것)입니다. (참고: 국제 원문 모델은 '배포 뷰' 대신 'Physical View'라는 용어를 쓰기도 하지만, 국내 시험에서는 '배포 뷰'가 표준 용어입니다.)",4,cbt,2025_3,0
17,ipe_industrial,1,2022_1,파이프 필터 형태의 소프트웨어 아키텍처에 대한 설명으로 옳은 것은?,노드와 간선으로 구성된다.,계층 모델이라고도 한다.,서브 시스템이 입력 데이터를 받아 처리하고 결과를 다음 서브 시스템으로 넘겨주는 과정을 반복한다.,"3개의 서브 시스템(모델, 뷰, 제어)으로 구성되어 있다.",3,"파이프-필터 아키텍처는 각 처리 단계를 필터로 캡슐화하고, 한 필터의 출력을 파이프로 다음 필터에 전달하는 구조입니다. ①은 그래프 구조, ②는 계층 패턴, ④는 MVC 패턴에 대한 설명입니다.",5,cbt,2022_1,0
18,ipe_industrial,1,2024_1,파이프 필터 형태의 소프트웨어 아키텍처에 대한 설명으로 옳은 것은?,노드와 간선으로 구성된다.,계층 모델이라고도 한다.,서브 시스템이 입력 데이터를 받아 처리하고 결과를 다음 서브 시스템으로 넘겨주는 과정을 반복한다.,"3개의 서브 시스템(모델, 뷰, 제어)으로 구성되어 있다.",3,"파이프-필터 아키텍처는 각 처리 단계를 필터로 캡슐화하고, 한 필터의 출력을 파이프로 다음 필터에 전달하는 구조입니다. ①은 그래프 구조, ②는 계층 패턴, ④는 MVC 패턴에 대한 설명입니다.",5,cbt,2024_1,0
19,ipe_industrial,1,2025_2,파이프 필터 형태의 소프트웨어 아키텍처에 대한 설명으로 옳은 것은?,노드와 간선으로 구성된다.,계층 모델이라고도 한다.,서브 시스템이 입력 데이터를 받아 처리하고 결과를 다음 서브 시스템으로 넘겨주는 과정을 반복한다.,"3개의 서브 시스템(모델, 뷰, 제어)으로 구성되어 있다.",3,"파이프-필터 아키텍처는 각 처리 단계를 필터로 캡슐화하고, 한 필터의 출력을 파이프로 다음 필터에 전달하는 구조입니다. ①은 그래프 구조, ②는 계층 패턴, ④는 MVC 패턴에 대한 설명입니다.",5,cbt,2025_2,0
20,ipe_industrial,1,2022_1,한 객체의 상태가 변화하면 객체에 상속되어 있는 다른 객체들에게 변화된 상태를 전달하는 패턴은?,State,Observer,Visitor,Mediator,2,옵서버(Observer) 패턴은 한 객체(주체)의 상태 변화를 그 객체를 구독 중인 다른 객체들에게 자동으로 통지하는 행위 패턴입니다.,6,cbt,2022_1,0
